,did,mamba
0,11,0.9633281230926514
1,14,0.927487576007843
2,15,0.9926620960235596
3,16,0.9628016710281372
4,18,0.9479806065559387
5,22,0.9271860480308532
6,23,0.6945203185081482
7,29,0.9268906950950623
8,31,0.7803809404373169
9,37,0.8395222067832947
10,50,0.6757701754570007
11,54,0.8920094013214112
12,188,0.8929108500480651
13,458,0.9997362732887268
14,469,0.5539416432380676
15,1049,0.9049610495567322
16,1050,0.8167047739028931
17,1063,0.8314020276069641
18,1068,0.8310045957565307
19,1462,0.9999935150146484
20,1464,0.7598793745040894
21,1480,0.7435199975967407
22,1494,0.9123418807983399
23,1510,0.9966017484664917
24,6332,0.7031431674957276
25,23381,0.5309438467025757
26,40966,0.9550637364387512
27,40975,0.9051828742027282
28,40982,0.874838364124298
29,40994,0.9338579058647156
