,did,hydra
0,11,0.9653846144676208
1,14,0.7031999945640564
2,15,0.9656160473823547
3,16,0.8700000047683716
4,18,0.7032000064849854
5,22,0.7547999858856201
6,23,0.5307999968528747
7,29,0.860869574546814
8,31,0.7648000001907349
9,37,0.7755208373069763
10,50,0.821294367313385
11,54,0.744208037853241
12,188,0.6831521630287171
13,458,0.9971428394317627
14,469,0.1974874407052994
15,1049,0.8991999983787536
16,1050,0.9016000032424927
17,1063,0.8383141875267028
18,1068,0.9235999941825866
19,1462,0.998800003528595
20,1464,0.7812834262847901
21,1480,0.6914089560508728
22,1494,0.875599992275238
23,1510,0.9760563373565674
24,6332,0.7096296310424804
25,23381,0.5648000121116639
26,40966,0.7851999998092651
27,40975,0.9291999936103821
28,40982,0.6703999996185303
29,40994,0.9503703594207764
