,bptt,mamba,mamba_clow,mamba_chigh,transformer,transformer_clow,transformer_chigh
0,100,0.7422803111019588,0.7275355284176843,0.7570250937862333,0.8031367903663998,0.7952997129717491,0.8109738677610506
1,200,0.7805264258668536,0.7714134890030806,0.7896393627306266,0.8338504576966876,0.827066891529046,0.8406340238643293
2,300,0.7956715721459615,0.790129568244438,0.801213576047485,0.8424601605960301,0.8388485028975797,0.8460718182944805
3,400,0.8008908142646154,0.7930583298143764,0.8087232987148544,0.849766167998314,0.8470378459453853,0.8524944900512426
4,500,0.8047563362689246,0.8004064192664009,0.8091062532714484,0.8535388960724786,0.8509395252225445,0.8561382669224127
5,600,0.8108317173662641,0.807928834645902,0.8137346000866262,0.8594174213352657,0.8580545668169248,0.8607802758536065
6,700,0.8143392828248794,0.8095271615470169,0.819151404102742,0.864984170595805,0.863292269064302,0.866676072127308
7,800,0.8161172822827385,0.8120016275690594,0.8202329369964176,0.867901623249054,0.8652752756044554,0.8705279708936525
8,900,0.8186143950337457,0.8141436011765919,0.8230851888908994,0.8717631794157483,0.8690563193119564,0.8744700395195403
9,1000,0.8207554317656018,0.8182495942845144,0.8232612692466893,0.8747110196522303,0.873133096163152,0.8762889431413086
10,1100,0.8214573261283693,0.817855211933537,0.8250594403232016,0.876032246010644,0.8742873360554926,0.8777771559657954
11,1200,0.8220516900221506,0.819243169459109,0.8248602105851922,0.8768000878038862,0.8750384220710989,0.8785617535366734
12,1300,0.8217717897324336,0.8184940196494415,0.8250495598154257,0.8772502585535958,0.8764576485822697,0.878042868524922
13,1400,0.821987694359961,0.8181829116977865,0.8257924770221355,0.8786679756073724,0.8764636112343351,0.8808723399804097
14,1500,0.8226391681603022,0.8200159902563423,0.8252623460642622,0.8796023488044739,0.877141375720092,0.8820633218888557
15,1600,0.8225265671809513,0.8199423806164566,0.825110753745446,0.8799881520725432,0.8783446515313272,0.8816316526137592
16,1700,0.8232615909406118,0.8203806346104542,0.8261425472707694,0.8806525264467512,0.8788474995197607,0.8824575533737417
17,1800,0.8222904061987286,0.8187212309791699,0.8258595814182873,0.8807324826717376,0.8788588795705417,0.8826060857729336
18,1900,0.8231486219735373,0.8200023860079203,0.8262948579391544,0.881336655219396,0.879500039793551,0.883173270645241
19,2000,0.8237503717343013,0.8213168899260413,0.8261838535425613,0.8822649569738479,0.8806871516449003,0.8838427623027955
20,2100,0.8245356247538613,0.8229837878758088,0.8260874616319138,0.8832152894565037,0.882151116703573,0.8842794622094344
21,2200,0.8248677442471187,0.8237535550002051,0.8259819334940324,0.8835960236333665,0.8827358940390497,0.8844561532276833
22,2300,0.8245685601518268,0.8223186486277658,0.8268184716758877,0.8842717207613445,0.8835673629092269,0.8849760786134622
23,2400,0.8244323018051329,0.822839494119979,0.8260251094902868,0.8844746818145117,0.8837214873154353,0.8852278763135881
24,2500,0.8245644492762428,0.822758501760865,0.8263703967916207,0.8848831703265508,0.8840585070062792,0.8857078336468225
25,2600,0.8248593477975754,0.8233725153334601,0.8263461802616907,0.8854101835262206,0.8843251630501839,0.8864952040022572
