,did,hydra
0,3,0.9931032180786132
1,6,0.9834426999092102
2,12,0.9953429579734803
3,28,0.9948658466339111
4,32,0.9952594995498657
5,38,0.9608229041099549
6,44,0.9739281296730041
7,46,0.9716833233833313
8,151,0.8441590666770935
9,182,0.9783039689064026
10,300,0.960635781288147
11,307,0.988121497631073
12,554,0.5837401747703552
13,1053,0.6909409642219544
14,1067,0.7966049909591675
15,1461,0.8751816391944885
16,1468,0.6667605519294739
17,1475,0.6667391180992126
18,1478,0.9747750759124756
19,1485,0.5534617066383362
20,1486,0.9785878419876098
21,1487,0.9118086099624634
22,1489,0.8881483912467957
23,1497,0.9730963826179504
24,1501,0.9306463241577149
25,1590,0.8853835463523865
26,4134,0.8042986035346985
27,4534,0.9634281396865845
28,4538,0.7503288626670838
29,23517,0.5119702696800232
30,40499,0.989646577835083
31,40668,0.5905519247055053
32,40670,0.9568617701530456
33,40701,0.8952281832695007
34,40923,0.6486784458160401
35,40927,0.588375198841095
36,40978,0.8559854745864868
37,40979,0.9613213777542114
38,40983,0.9914071917533874
39,40984,0.9852327942848206
40,40996,0.8790056943893433
41,41027,0.8811501622200012
