,did,hydra
0,11,0.9679487228393555
1,14,0.7112000107765197
2,15,0.9644698977470398
3,16,0.8852000117301941
4,18,0.7015999913215637
5,22,0.7687999844551087
6,23,0.5347999811172486
7,29,0.8510144948959351
8,31,0.7531999945640564
9,37,0.7671875
10,50,0.8221294403076171
11,54,0.7437352180480957
12,188,0.6875
13,458,0.9966666460037231
14,469,0.20804019868373871
15,1049,0.9
16,1050,0.8939999938011169
17,1063,0.8199233770370483
18,1068,0.9251999855041504
19,1462,0.998800003528595
20,1464,0.7877005457878112
21,1480,0.6749140739440918
22,1494,0.8748000025749206
23,1510,0.9767605543136597
24,6332,0.7162963032722474
25,23381,0.5351999998092651
26,40966,0.8128000020980835
27,40975,0.926800012588501
28,40982,0.6888000011444092
29,40994,0.9422222256660462
