,did,mamba
0,11,0.9650127053260803
1,14,0.9281927585601807
2,15,0.9926953792572022
3,16,0.9595715403556824
4,18,0.9470627188682557
5,22,0.9260156512260437
6,23,0.6983898520469666
7,29,0.927351462841034
8,31,0.7784363865852356
9,37,0.8394384384155273
10,50,0.6865300178527832
11,54,0.8941267609596253
12,188,0.8947849154472352
13,458,0.9997438549995422
14,469,0.5654729604721069
15,1049,0.906916081905365
16,1050,0.8174263119697571
17,1063,0.8308831453323364
18,1068,0.8373797178268433
19,1462,0.9999935150146484
20,1464,0.7602283120155334
21,1480,0.7400749921798706
22,1494,0.9117090940475464
23,1510,0.9967150449752807
24,6332,0.7065465807914734
25,23381,0.5284385681152344
26,40966,0.9517769098281861
27,40975,0.9077439188957215
28,40982,0.8767982840538024
29,40994,0.9363091468811036
