,bptt,hydra,hydra_clow,hydra_chigh
0,100,0.788570531918889,0.7765155908302694,0.8006254730075086
1,200,0.8251681523663656,0.8198003387536206,0.8305359659791107
2,300,0.8324148874907266,0.8279387401303245,0.8368910348511286
3,400,0.840458013472103,0.837006914929247,0.8439091120149591
4,500,0.8437927842140198,0.8405417556428894,0.8470438127851503
5,600,0.8483332895097279,0.8438792099464333,0.8527873690730224
6,700,0.8528515632663455,0.8486987994876443,0.8570043270450467
7,800,0.8551794492063068,0.8527400720615015,0.8576188263511122
8,900,0.8571030481940223,0.8530831955750637,0.8611229008129808
9,1000,0.8602388563610258,0.8583061019433628,0.8621716107786889
10,1100,0.8613328726518723,0.859902057820025,0.8627636874837196
11,1200,0.8608994801839192,0.8594140507430189,0.8623849096248194
12,1300,0.8614497116633822,0.8597522422883577,0.8631471810384068
13,1400,0.8621135548466728,0.8591953151551519,0.8650317945381938
14,1500,0.8628702600797018,0.8594067390212425,0.8663337811381611
15,1600,0.863124922911326,0.8609050477985453,0.8653447980241068
16,1700,0.8636237128859474,0.8614577713844989,0.865789654387396
17,1800,0.8631047352438882,0.8606799461554944,0.865529524332282
18,1900,0.863554977093424,0.8609902465598863,0.8661197076269617
19,2000,0.8640747796921502,0.8621057606935192,0.8660437986907812
20,2100,0.8649021706410818,0.863506158889181,0.8662981823929825
21,2200,0.8650098979473114,0.863318952098307,0.8667008437963158
22,2300,0.8651108748856045,0.8636919660548102,0.8665297837163987
23,2400,0.8656864726827258,0.8640856716259538,0.8672872737394978
24,2500,0.8659655502864293,0.8645894619235777,0.8673416386492809
25,2600,0.8661484394754684,0.8648027286493227,0.867494150301614
26,2700,0.8659918516874313,0.864573230814971,0.8674104725598917
27,2800,0.8662150652635665,0.8646429637245266,0.8677871668026064
28,2900,0.8663933982451756,0.8651636313420986,0.8676231651482526
29,3000,0.8664856307563327,0.8648276384798658,0.8681436230327996
30,3100,0.8664777132726851,0.8646158714069629,0.8683395551384072
31,3200,0.8664790760903133,0.8646534196423862,0.8683047325382404
32,3300,0.86703552930128,0.8653808423367175,0.8686902162658425
33,3400,0.8671223939884276,0.8654989164965718,0.8687458714802834
34,3500,0.8671939507836386,0.8657483275622461,0.8686395740050311
35,3600,0.8672112064702171,0.8659750649674232,0.868447347973011
36,3700,0.8673200915257135,0.866045656753718,0.8685945262977091
37,3800,0.8673902364004226,0.8660875804480289,0.8686928923528162
38,3900,0.8676834976389294,0.8664230152953265,0.8689439799825323
39,4000,0.8674413148845945,0.8660970819463248,0.8687855478228642
40,4100,0.8676180569898515,0.866506455229439,0.868729658750264
41,4200,0.8676207739682426,0.8662506697708552,0.8689908781656299
42,4300,0.8674499889214834,0.866195196529104,0.8687047813138628
43,4400,0.8672074607440404,0.866039138936025,0.8683757825520558
44,4500,0.8675371920778637,0.8664492752960341,0.8686251088596934
45,4600,0.8676124449287143,0.8667855976437863,0.8684392922136422
46,4700,0.8677689129397981,0.8668584695358742,0.868679356343722
47,4800,0.8677899809110732,0.867192004461798,0.8683879573603484
48,4900,0.8680547419048491,0.8675608588174923,0.8685486249922059
