,did,mamba
0,11,0.8884615421295166
1,14,0.5664000153541565
2,15,0.9713467121124267
3,16,0.7692000031471252
4,18,0.6440000057220459
5,22,0.6055999875068665
6,23,0.5203999996185302
7,29,0.8602898478507995
8,31,0.7575999975204468
9,37,0.7755208373069763
10,50,0.6793319463729859
11,54,0.663829791545868
12,188,0.638043475151062
13,458,0.9919047474861145
14,469,0.1974874407052994
15,1049,0.8827999949455261
16,1050,0.903600013256073
17,1063,0.8260536432266236
18,1068,0.924399995803833
19,1462,0.9968000054359436
20,1464,0.7839572191238403
21,1480,0.7127147793769837
22,1494,0.8624000072479248
23,1510,0.9781690239906311
24,6332,0.6600000023841858
25,23381,0.5632000088691711
26,40966,0.6896000027656555
27,40975,0.8535999894142151
28,40982,0.5728000044822693
29,40994,0.946666669845581
