,did,hydra
0,11,0.9602564215660095
1,14,0.7003999948501587
2,15,0.9638968467712402
3,16,0.8599999904632568
4,18,0.7007999897003174
5,22,0.7464000105857849
6,23,0.5360000014305115
7,29,0.8631884098052979
8,31,0.7652000069618226
9,37,0.7760416626930237
10,50,0.8087682843208313
11,54,0.7423167705535889
12,188,0.6711956620216369
13,458,0.9966666460037231
14,469,0.19798994958400726
15,1049,0.8955999970436096
16,1050,0.9016000032424927
17,1063,0.8360153317451477
18,1068,0.9235999941825866
19,1462,0.998800003528595
20,1464,0.7807486653327942
21,1480,0.6907216548919678
22,1494,0.8735999941825867
23,1510,0.977464783191681
24,6332,0.7044444561004639
25,23381,0.5688000082969665
26,40966,0.7715999960899353
27,40975,0.9264000058174133
28,40982,0.6703999996185303
29,40994,0.9503703713417053
