,did,hydra
0,11,0.9958511471748352
1,14,0.9569529294967651
2,15,0.9928449273109436
3,16,0.987812077999115
4,18,0.9600140213966369
5,22,0.9728829979896545
6,23,0.7151919007301331
7,29,0.9264501929283142
8,31,0.7760336399078369
9,37,0.8290750741958618
10,50,0.8883792400360108
11,54,0.9284390449523926
12,188,0.9189351677894593
13,458,0.9999683380126954
14,469,0.582174015045166
15,1049,0.9286980032920837
16,1050,0.8103392124176025
17,1063,0.8121638536453247
18,1068,0.8460336923599243
19,1462,0.9999967575073242
20,1464,0.7591881632804871
21,1480,0.7117250323295593
22,1494,0.9221490144729614
23,1510,0.9959358096122741
24,6332,0.7757376551628112
25,23381,0.5163650035858154
26,40966,0.9829297184944152
27,40975,0.9772687911987304
28,40982,0.9344653844833374
29,40994,0.9420546889305115
