,did,transformer,mamba
0,3,0.9991779923439026,0.9788178205490112
1,6,,
2,12,0.999542236328125,0.961894690990448
3,28,0.9995473623275757,0.9505397081375122
4,32,0.9998428225517273,0.9110649228096008
5,38,0.9809929728507996,0.9360344409942627
6,44,0.9801190495491028,0.9780039191246033
7,46,0.9832246899604797,0.9669085144996643
8,151,0.8346274495124817,0.7896774411201477
9,182,0.9812179207801819,0.9400660395622253
10,300,,
11,307,,
12,554,0.9865334630012512,0.8716868758201599
13,1053,0.7246996760368347,0.6989672183990479
14,1067,0.808815598487854,0.7815951108932495
15,1461,0.8791128396987915,0.8785824775695801
16,1468,0.8822417855262756,0.733369767665863
17,1475,0.7280287146568298,0.6155402660369873
18,1478,0.9945269823074341,0.9176176190376282
19,1485,0.5594582557678223,0.5652981996536255
20,1486,0.9810606241226196,0.9652135968208313
21,1487,0.9000412225723267,0.8690360188484192
22,1489,0.9301616549491882,0.808258056640625
23,1497,0.9857648611068726,0.9059889912605286
24,1501,0.9954260587692261,0.8824172019958496
25,1590,0.8828201293945312,0.8699600696563721
26,4134,0.8041493892669678,0.7136297821998596
27,4534,0.9747990369796753,0.95005863904953
28,4538,0.8045480847358704,0.7380645871162415
29,23517,0.5312626957893372,0.5087224841117859
30,40499,,
31,40668,0.5834159851074219,0.5204764604568481
32,40670,0.9865830540657043,0.9676401019096375
33,40701,0.8754850625991821,0.7973813414573669
34,40923,,
35,40927,0.7902438044548035,0.6722772121429443
36,40978,0.9048972129821777,0.7918470501899719
37,40979,0.9994005560874939,0.9592090845108032
38,40983,0.9977005124092102,0.9909048080444336
39,40984,0.9941010475158691,0.9599149227142334
40,40996,0.9760256409645081,0.9069973230361938
41,41027,0.9170385599136353,0.7937009334564209
