,did,mamba
0,11,0.9643422722816467
1,14,0.9319201827049255
2,15,0.9939682006835937
3,16,0.9667177081108094
4,18,0.948733115196228
5,22,0.931150245666504
6,23,0.7075418114662171
7,29,0.9302923440933227
8,31,0.793787157535553
9,37,0.8389699816703796
10,50,0.6859203338623047
11,54,0.8955376386642456
12,188,0.8963747620582581
13,458,0.9997853875160218
14,469,0.5660439372062683
15,1049,0.9128085255622864
16,1050,0.8296912908554077
17,1063,0.8439362525939942
18,1068,0.8408397316932679
19,1462,0.9999935150146484
20,1464,0.7628984093666077
21,1480,0.7570776224136353
22,1494,0.919752299785614
23,1510,0.9968843460083008
24,6332,0.7325556397438049
25,23381,0.5623096466064453
26,40966,0.9590118408203125
27,40975,0.9071624159812928
28,40982,0.879420804977417
29,40994,0.9540364503860473
