,did,transformer,mamba
0,11,0.9998387694358826,0.9688121676445007
1,14,0.9762771725654602,0.863123893737793
2,15,0.9919477105140686,0.9932476282119751
3,16,0.996100127696991,0.9149342775344849
4,18,0.9667447209358215,0.9184871315956116
5,22,0.9809004664421082,0.8606848120689392
6,23,0.6960206627845764,0.6745726466178894
7,29,0.9407930970191956,0.9425517320632935
8,31,0.7925485968589783,0.7925485968589783
9,37,0.8234430551528931,0.8380013704299927
10,50,0.9676315784454346,0.6392481327056885
11,54,0.9590933918952942,0.8733294606208801
12,188,0.9245026111602783,0.8720017671585083
13,458,1.0,0.999815821647644
14,469,0.5807018876075745,0.5394707322120667
15,1049,0.9099586606025696,0.8484816551208496
16,1050,0.8560741543769836,0.8508158326148987
17,1063,0.862938404083252,0.8691943287849426
18,1068,0.9100044369697571,0.8296691179275513
19,1462,1.0,0.9991884827613831
20,1464,0.764412522315979,0.781383752822876
21,1480,0.7504633665084839,0.7576459646224976
22,1494,0.9274671077728271,0.910979151725769
23,1510,0.9990626573562622,0.9968234300613403
24,6332,0.809431791305542,0.6811931729316711
25,23381,0.5582666397094727,0.5518251061439514
26,40966,0.9999934434890747,0.9449638724327087
27,40975,0.987697958946228,0.8694316148757935
28,40982,0.9667371511459351,0.8351340293884277
29,40994,0.9322709441184998,0.9321660995483398
