,did,hydra
0,11,0.9857123732566834
1,14,0.9564053177833557
2,15,0.9943079948425293
3,16,0.9762344717979431
4,18,0.9550072908401489
5,22,0.957397997379303
6,23,0.7254506826400757
7,29,0.9379899978637696
8,31,0.8055066943168641
9,37,0.8485287070274353
10,50,0.8280469655990601
11,54,0.9255179166793823
12,188,0.9113986730575562
13,458,0.9998156189918518
14,469,0.591556191444397
15,1049,0.930333137512207
16,1050,0.8434307217597962
17,1063,0.8492225766181946
18,1068,0.8454260349273681
19,1462,1.0
20,1464,0.7633471846580505
21,1480,0.761641001701355
22,1494,0.9289690494537354
23,1510,0.9970239043235779
24,6332,0.7645163774490357
25,23381,0.5868276000022888
26,40966,0.9756361246109009
27,40975,0.9420973181724548
28,40982,0.9117024779319763
29,40994,0.9648486256599427
