,did,mamba
0,11,0.9529561996459961
1,14,0.7934321284294128
2,15,0.9921104550361634
3,16,0.8385305166244507
4,18,0.8325226306915283
5,22,0.8159344434738159
6,23,0.680944311618805
7,29,0.9207691192626953
8,31,0.7786869645118714
9,37,0.8411608815193177
10,50,0.6471299052238464
11,54,0.8311744928359985
12,188,0.8457015037536622
13,458,0.955499279499054
14,469,0.5414180397987366
15,1049,0.8595816969871521
16,1050,0.7976062893867493
17,1063,0.8168001294136047
18,1068,0.7971643447875977
19,1462,0.9990698814392089
20,1464,0.761740505695343
21,1480,0.733677327632904
22,1494,0.8955027341842652
23,1510,0.9898313045501709
24,6332,0.6721088409423828
25,23381,0.5430858492851257
26,40966,0.8199551105499268
27,40975,0.8111556887626648
28,40982,0.768709683418274
29,40994,0.9230998873710632
