,did,mamba
0,11,0.9563647389411927
1,14,0.7951125144958496
2,15,0.9926180243492126
3,16,0.84453843832016
4,18,0.8315558791160583
5,22,0.8192278861999511
6,23,0.6916268348693848
7,29,0.9202056288719177
8,31,0.788397753238678
9,37,0.8384208440780639
10,50,0.6549382090568543
11,54,0.8344183206558228
12,188,0.8526991486549378
13,458,0.9618325352668762
14,469,0.5521645426750184
15,1049,0.8681389451026916
16,1050,0.8063969612121582
17,1063,0.8272054553031921
18,1068,0.8045159816741944
19,1462,0.9992039799690247
20,1464,0.7614447832107544
21,1480,0.7455320596694947
22,1494,0.9016678333282471
23,1510,0.9902111053466797
24,6332,0.6923820018768311
25,23381,0.5680972933769226
26,40966,0.8252939820289612
27,40975,0.8177136898040771
28,40982,0.7711384415626525
29,40994,0.9429054856300354
