,did,transformer,mamba
0,3,0.9991779923439026,0.9788178205490112
1,6,0.9991445541381836,0.9404197931289673
2,12,0.9995210766792297,0.9505534768104553
3,28,0.9995473623275757,0.9505397081375122
4,32,0.9998428225517273,0.9110649228096008
5,38,0.9809929728507996,0.9360344409942627
6,44,0.9801190495491028,0.9780039191246033
7,46,0.9832246899604797,0.9669085144996643
8,151,0.8346274495124817,0.7896774411201477
9,182,0.9812179207801819,0.9400660395622253
10,300,0.9893431663513184,0.9125219583511353
11,307,0.9991565346717834,0.8998797535896301
12,554,0.5931009650230408,0.5748683214187622
13,1053,0.7246996760368347,0.6989672183990479
14,1067,0.808815598487854,0.7815951108932495
15,1461,0.8791128396987915,0.8785824775695801
16,1468,0.7049770355224609,0.6353800892829895
17,1475,0.7280287146568298,0.6155402660369873
18,1478,0.9935265183448792,0.9540693759918213
19,1485,0.5531270503997803,0.5501626133918762
20,1486,0.9822884798049927,0.9598473906517029
21,1487,0.9000412225723267,0.8690360188484192
22,1489,0.9301616549491882,0.808258056640625
23,1497,0.9857648611068726,0.9059889912605286
24,1501,0.9609115719795227,0.8455193638801575
25,1590,0.8828201293945312,0.8699600696563721
26,4134,0.8304053544998169,0.7474130392074585
27,4534,0.9747990369796753,0.95005863904953
28,4538,0.8045480847358704,0.7380645871162415
29,23517,0.5312626957893372,0.5087224841117859
30,40499,0.9999802112579346,0.9091129899024963
31,40668,0.5834159851074219,0.5204764604568481
32,40670,0.9875312447547913,0.8620514273643494
33,40701,0.8754850625991821,0.7973813414573669
34,40923,0.6813925504684448,0.5865151286125183
35,40927,0.6248188018798828,0.5592345595359802
36,40978,0.8923746347427368,0.7307629585266113
37,40979,0.9825325608253479,0.8963509202003479
38,40983,0.9977005124092102,0.9909048080444336
39,40984,0.9941010475158691,0.9599149227142334
40,40996,0.909299910068512,0.8195960521697998
41,41027,0.9170385599136353,0.7937009334564209
