,did,transformer,mamba
0,11,0.9935897588729858,0.9038461446762085
1,14,0.7734375,0.474609375
2,15,0.9684813618659973,0.9684813618659973
3,16,0.94140625,0.578125
4,18,0.765625,0.34375
5,22,0.81640625,0.46484375
6,23,0.529296875,0.515625
7,29,0.8637681007385254,0.8753623366355896
8,31,0.7739999890327454,0.777999997138977
9,37,0.7473958134651184,0.7734375
10,50,0.9081419706344604,0.6388309001922607
11,54,0.8156028389930725,0.6477541327476501
12,188,0.676630437374115,0.5978260636329651
13,458,1.0,0.9785714149475098
14,469,0.21105527877807617,0.19346733391284943
15,1049,0.884765625,0.87109375
16,1050,0.904296875,0.923828125
17,1063,0.8199234008789062,0.8429118990898132
18,1068,0.92578125,0.92578125
19,1462,1.0,0.986328125
20,1464,0.7807486653327942,0.7566844820976257
21,1480,0.7250859141349792,0.7216494679450989
22,1494,0.884765625,0.8671875
23,1510,0.9823943376541138,0.9647887349128723
24,6332,0.7518518567085266,0.6592592597007751
25,23381,0.5640000104904175,0.5640000104904175
26,40966,0.994140625,0.5859375
27,40975,0.951171875,0.814453125
28,40982,0.74609375,0.517578125
29,40994,0.9629629850387573,0.9555555582046509
