,did,hydra
0,11,0.9576923012733459
1,14,0.7112000107765197
2,15,0.9633237719535828
3,16,0.8739999890327453
4,18,0.6924000024795532
5,22,0.7520000100135803
6,23,0.5340000033378601
7,29,0.860869574546814
8,31,0.7532000064849853
9,37,0.7776041746139526
10,50,0.8150313258171081
11,54,0.7352245926856995
12,188,0.681521737575531
13,458,0.9971428394317627
14,469,0.20201005041599274
15,1049,0.901199996471405
16,1050,0.8948000073432922
17,1063,0.8352490544319153
18,1068,0.9251999974250793
19,1462,0.998800003528595
20,1464,0.7866310119628906
21,1480,0.6790378093719482
22,1494,0.8728000044822692
23,1510,0.9746478796005249
24,6332,0.7074074149131775
25,23381,0.5520000100135803
26,40966,0.7832000017166137
27,40975,0.929200005531311
28,40982,0.6747999906539917
29,40994,0.9459259271621704
