,did,hydra
0,11,0.9943400025367737
1,14,0.955149257183075
2,15,0.9934717059135437
3,16,0.9858271479606628
4,18,0.9596472382545471
5,22,0.9712824821472168
6,23,0.7144666910171509
7,29,0.9305561423301697
8,31,0.7856096506118775
9,37,0.8427460074424744
10,50,0.8843791723251343
11,54,0.9299175143241882
12,188,0.9166551113128663
13,458,0.9999526143074036
14,469,0.5804312109947205
15,1049,0.9279137372970581
16,1050,0.8240484118461608
17,1063,0.8304958939552307
18,1068,0.8357396245002746
19,1462,0.9999967575073242
20,1464,0.7633578300476074
21,1480,0.732129430770874
22,1494,0.9216564893722534
23,1510,0.9966161608695984
24,6332,0.7778683781623841
25,23381,0.542944860458374
26,40966,0.9794819235801697
27,40975,0.975080144405365
28,40982,0.9283968091011048
29,40994,0.9407019972801208
