,did,hydra
0,11,0.9835272789001465
1,14,0.9515008926391602
2,15,0.9926385521888733
3,16,0.9761264443397522
4,18,0.9536113500595093
5,22,0.9553280353546143
6,23,0.7089271903038025
7,29,0.929642117023468
8,31,0.781141209602356
9,37,0.8422263979911804
10,50,0.8196099162101745
11,54,0.9183633327484131
12,188,0.9059295773506164
13,458,0.9998169183731079
14,469,0.5716770648956299
15,1049,0.9209031343460083
16,1050,0.8214288234710694
17,1063,0.8325316667556762
18,1068,0.8304576754570008
19,1462,1.0
20,1464,0.7592310786247254
21,1480,0.7291859984397888
22,1494,0.9190353155136108
23,1510,0.9959567070007325
24,6332,0.7295396089553833
25,23381,0.5280550062656403
26,40966,0.976773715019226
27,40975,0.9399786114692688
28,40982,0.9054850459098815
29,40994,0.9448505163192749
