,0,1
0,3,0.5397727489471436
1,6,
2,12,0.40782392024993896
3,28,
4,32,0.5422948002815247
5,38,0.09907069057226181
6,44,0.5271475315093994
7,46,0.529342770576477
8,151,0.4782746732234955
9,182,0.42705926299095154
10,300,0.6703070402145386
11,307,0.1989067792892456
12,554,0.4048236906528473
13,1053,0.4332868456840515
14,1067,0.3106834292411804
15,1461,0.555905818939209
16,1468,0.45921480655670166
17,1475,0.38940978050231934
18,1478,0.49771153926849365
19,1485,0.45657455921173096
20,1486,0.41796040534973145
21,1487,0.49974918365478516
22,1489,0.3032708168029785
23,1497,
24,1501,
25,1590,0.5002920031547546
26,4134,0.4776826798915863
27,4534,
28,4538,0.4018668532371521
29,23517,0.34217506647109985
30,40499,0.5508447289466858
31,40668,0.8587251305580139
32,40670,0.7561241388320923
33,40701,0.7645002007484436
34,40923,0.4554195702075958
35,40927,
36,40978,0.4451219439506531
37,40979,0.4740349352359772
38,40983,0.6289988160133362
39,40984,0.45845329761505127
40,40996,
41,41027,0.5474404692649841
