,did,transformer,mamba
0,11,0.9993955492973328,0.9684986472129822
1,14,0.9763577580451965,0.8619323968887329
2,15,0.9922366142272949,0.9910811185836792
3,16,0.9949474930763245,0.922649621963501
4,18,0.9655472040176392,0.8891596794128418
5,22,0.9807729125022888,0.8448445796966553
6,23,0.701123058795929,0.6795012950897217
7,29,0.9447241425514221,0.9403793215751648
8,31,0.79292231798172,0.7869423031806946
9,37,0.8213162422180176,0.8371027112007141
10,50,0.979830801486969,0.6539098024368286
11,54,0.9591176509857178,0.849591851234436
12,188,0.9232414960861206,0.8612282276153564
13,458,1.0,0.9999233484268188
14,469,0.5784197449684143,0.5495598316192627
15,1049,0.9093576669692993,0.8444868922233582
16,1050,0.8528215885162354,0.8488643169403076
17,1063,0.8705213069915771,0.8639810681343079
18,1068,0.8948478698730469,0.8286142349243164
19,1462,1.0,0.9986552000045776
20,1464,0.7736052870750427,0.7750939726829529
21,1480,0.7562558054924011,0.7547497749328613
22,1494,0.9295215606689453,0.9079322814941406
23,1510,0.9990626573562622,0.9979690909385681
24,6332,0.8230682015419006,0.6817045211791992
25,23381,0.5508165955543518,0.5579413175582886
26,40966,0.9999843835830688,0.9301532506942749
27,40975,0.9893051385879517,0.8322942852973938
28,40982,0.9664533138275146,0.8321353197097778
29,40994,0.9311176538467407,0.9303837418556213
