,did,hydra
0,11,0.9944479107856751
1,14,0.9553720116615295
2,15,0.9934868335723877
3,16,0.9858426570892334
4,18,0.959699022769928
5,22,0.9711805820465088
6,23,0.7149760127067566
7,29,0.9306298732757569
8,31,0.7856491923332214
9,37,0.8430956363677978
10,50,0.8850319862365723
11,54,0.9306351542472839
12,188,0.9165152072906494
13,458,0.9999541282653809
14,469,0.5807856798171998
15,1049,0.9280574798583985
16,1050,0.8243946552276611
17,1063,0.8303977966308593
18,1068,0.8372780561447144
19,1462,0.9999967575073242
20,1464,0.7632486343383789
21,1480,0.7320324659347535
22,1494,0.9217596173286438
23,1510,0.9965924978256225
24,6332,0.7771600008010864
25,23381,0.5430387020111084
26,40966,0.9795327663421631
27,40975,0.9752439618110657
28,40982,0.928048026561737
29,40994,0.9410743355751038
